_func_name, asm, assignment, bitwise, branch_case, branch_if, branch_ternary, branch_total, broken_dowhile, cast, comma, cond_depth, fix, goto, if_depth, if_in_loop, invalid_form, invalid_funccall, invalid_ir, invalid_jump, label, loc, local, lol, loop_depth, loop_dowhile, loop_for, loop_total, loop_while, operator, prop_branch_case, prop_branch_if, prop_branch_ternary, prop_loop_dowhile, prop_loop_for, prop_loop_while, ref_direct, ref_structured, strcmp, token, undefined, unimplemented, unknown, unknown_op, 
function_4015c0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 
function_4015c5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 
function_4015ca, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 
function_4015cf, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 
function_4015d4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 
function_4015d9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 
function_4015e0, 0, 113, 2, 5, 17, 4, 26, 0, 0, 0, 0, 1.0, 12, 4, 2, 0, 0, 0, 0, 0, 274, 36, 15, 0, 0, 9, 9, 5, 53, 0.19230769230769232, 0.6538461538461539, 0.15384615384615385, 0.0, 0.0, 1.0, 22, 0, 0, 762, 0, 0, 0, 0, 
function_40180b, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 7, 0, 0, 0, 0, 
function_40182a, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 
function_401861, 0, 6, 2, 0, 2, 0, 2, 0, 0, 0, 0, 1.0, 0, 1, 0, 0, 0, 0, 0, 0, 27, 3, 13, 0, 0, 1, 1, 1, 11, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 4, 0, 0, 70, 0, 0, 0, 0, 
function_4018b8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 
function_4018c0, 0, 29, 0, 0, 13, 0, 13, 0, 0, 0, 0, 1.0, 6, 3, 0, 0, 0, 0, 0, 0, 104, 18, 34, 0, 0, 2, 2, 2, 17, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 4, 0, 0.0, 346, 0, 0, 0, 0, 
function_401be0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 1, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 
function_401bf0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 1, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 
function_401c00, 0, 3, 0, 0, 9, 0, 9, 0, 2, 0, 0, 0, 4, 3, 0, 0, 0, 0, 0, 0, 41, 3, 12, 0, 0, 0, 0, 0, 5, 0.0, 1.0, 0.0, 0, 0, 0, 3, 0, 0, 101, 0, 0, 0, 0, 
function_401ca0, 0, 47, 0, 0, 7, 0, 7, 0, 0, 0, 0, 1.0, 0, 1, 0, 0, 0, 0, 0, 0, 90, 22, 17, 0, 0, 2, 2, 1, 25, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 4, 0, 0, 256, 0, 0, 0, 0, 
function_401d40, 0, 10, 3, 0, 4, 2, 6, 0, 0, 0, 8, 0, 0, 2, 0, 0, 0, 0, 0, 0, 32, 9, 70, 0, 0, 0, 0, 0, 47, 0.0, 0.6666666666666666, 0.3333333333333333, 0, 0, 0, 21, 0, 0, 228, 0, 0, 0, 0, 
function_401e40, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 10, 0, 15, 0, 0, 0, 0, 0, 2, 0.0, 1.0, 0.0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 
function_401e97, 0, 134, 39, 108, 28, 0, 136, 0, 0, 0, 0, 1.0, 101, 4, 2, 0, 0, 0, 0, 0, 634, 64, 21, 0, 0, 6, 6, 3, 108, 0.7941176470588235, 0.20588235294117646, 0.0, 0.0, 0.0, 1.0, 14, 0, 0, 1547, 0, 0, 0, 0, 
function_403070, 1, 32, 2, 0, 6, 0, 6, 0, 4, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 61, 25, 16, 0, 0, 0, 0, 0, 14, 0.0, 1.0, 0.0, 0, 0, 0, 21, 0, 0, 260, 0, 0, 0, 0, 
function_403210, 0, 2, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 2, 13, 0, 0, 0, 0, 0, 2, 0.0, 0.0, 1.0, 0, 0, 0, 1, 0, 0, 24, 0, 0, 0, 0, 
function_403250, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 1, 14, 0, 0, 0, 0, 0, 2, 0.0, 0.0, 1.0, 0, 0, 0, 1, 0, 0, 19, 0, 0, 0, 0, 
function_403260, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 1, 11, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 3, 0, 0, 26, 0, 0, 0, 0, 
function_403270, 0, 6, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 5, 15, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 2, 0, 0, 60, 0, 0, 0, 0, 
function_4032b0, 0, 2, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 1, 18, 0, 0, 0, 0, 0, 4, 0.0, 0.0, 1.0, 0, 0, 0, 3, 0, 0, 31, 0, 0, 0, 0, 
function_4032d0, 0, 4, 0, 0, 1, 0, 1, 0, 0, 0, 2, 0, 0, 1, 0, 0, 0, 0, 0, 0, 13, 1, 11, 0, 0, 0, 0, 0, 6, 0.0, 1.0, 0.0, 0, 0, 0, 5, 0, 0, 53, 0, 0, 0, 0, 
